id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
648,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
649,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
650,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
651,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
652,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
653,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
654,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
655,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
656,Quel instrument mesure la pression atmosphérique ? (v130),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
657,Combien y a-t-il de jours dans une année bissextile ? (v130),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
658,Quel est l'organe principal de la respiration chez l'homme ? (v130),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
659,Quelle langue est majoritairement parlée au Brésil ? (v130),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
660,Qui a peint la 'Joconde' ? (v130),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
661,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
662,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
663,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
664,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
665,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
666,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
667,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
668,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
669,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
670,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
671,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
672,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
673,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
674,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
675,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
676,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
677,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
678,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
679,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
680,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
681,Quel instrument mesure la pression atmosphérique ? (v135),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
682,Combien y a-t-il de jours dans une année bissextile ? (v135),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
683,Quel est l'organe principal de la respiration chez l'homme ? (v135),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
684,Quelle langue est majoritairement parlée au Brésil ? (v135),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
685,Qui a peint la 'Joconde' ? (v135),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
686,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
687,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
688,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
689,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
690,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
691,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
692,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
693,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
694,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
695,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
696,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
697,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
698,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
699,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
700,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
701,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
702,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
703,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
704,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
705,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
706,Quel instrument mesure la pression atmosphérique ? (v140),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
707,Combien y a-t-il de jours dans une année bissextile ? (v140),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
708,Quel est l'organe principal de la respiration chez l'homme ? (v140),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
709,Quelle langue est majoritairement parlée au Brésil ? (v140),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
710,Qui a peint la 'Joconde' ? (v140),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
711,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
712,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
713,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
714,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
715,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
716,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
717,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
718,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
719,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
720,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
721,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
722,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
723,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
724,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
725,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
726,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
727,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
728,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
729,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
730,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
731,Quel instrument mesure la pression atmosphérique ? (v145),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
732,Combien y a-t-il de jours dans une année bissextile ? (v145),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
733,Quel est l'organe principal de la respiration chez l'homme ? (v145),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
734,Quelle langue est majoritairement parlée au Brésil ? (v145),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
735,Qui a peint la 'Joconde' ? (v145),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
736,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
737,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
738,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
739,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
740,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
741,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
742,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
743,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
744,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
745,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
746,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
747,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
748,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
749,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
750,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
751,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
752,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
753,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
754,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
755,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
756,Quel instrument mesure la pression atmosphérique ? (v150),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
757,Combien y a-t-il de jours dans une année bissextile ? (v150),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
758,Quel est l'organe principal de la respiration chez l'homme ? (v150),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
759,Quelle langue est majoritairement parlée au Brésil ? (v150),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
760,Qui a peint la 'Joconde' ? (v150),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
761,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
762,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
763,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
764,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
765,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
766,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
767,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
768,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
769,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
770,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
771,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
772,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
773,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
774,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
775,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
776,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
777,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
778,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
779,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
780,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
781,Quel instrument mesure la pression atmosphérique ? (v155),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
782,Combien y a-t-il de jours dans une année bissextile ? (v155),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
783,Quel est l'organe principal de la respiration chez l'homme ? (v155),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
784,Quelle langue est majoritairement parlée au Brésil ? (v155),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
785,Qui a peint la 'Joconde' ? (v155),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
786,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
787,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
788,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
789,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
790,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
791,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
792,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
793,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
794,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
795,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
796,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
797,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
798,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
799,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
800,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
801,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
802,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
803,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
804,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
805,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
806,Quel instrument mesure la pression atmosphérique ? (v160),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
807,Combien y a-t-il de jours dans une année bissextile ? (v160),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
808,Quel est l'organe principal de la respiration chez l'homme ? (v160),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
809,Quelle langue est majoritairement parlée au Brésil ? (v160),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
810,Qui a peint la 'Joconde' ? (v160),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
811,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
812,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
813,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
814,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
815,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
816,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
817,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
818,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
819,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
820,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
821,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
822,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
823,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
824,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
825,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
826,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
827,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
828,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
829,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
830,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
831,Quel instrument mesure la pression atmosphérique ? (v165),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
832,Combien y a-t-il de jours dans une année bissextile ? (v165),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
833,Quel est l'organe principal de la respiration chez l'homme ? (v165),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
834,Quelle langue est majoritairement parlée au Brésil ? (v165),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
835,Qui a peint la 'Joconde' ? (v165),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
836,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
837,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
838,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
839,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
840,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
841,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
842,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
843,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
844,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
845,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
846,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
847,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
